[INFO] 2024-01-25 00:03:28 : Analysing the "champagne supernova" song.
[INFO] 2024-01-25 00:04:14 : 37 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 38 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 39 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 40 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 41 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 42 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 43 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 44 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 45 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 46 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 47 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 48 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 49 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 50 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 51 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 52 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 53 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 54 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 55 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 56 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 57 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 58 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 59 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 60 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 61 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : 62 / 62 rows processed
[INFO] 2024-01-25 00:04:14 : Analysing the "dont go away" song.
[INFO] 2024-01-25 00:04:14 : 1 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 2 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 3 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 4 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 5 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 6 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 7 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 8 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 9 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 10 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 11 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 12 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 13 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 14 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 15 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 16 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 17 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 18 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 19 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 20 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 21 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 22 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 23 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 24 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 25 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 26 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 27 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 28 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 29 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 30 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 31 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 32 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 33 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 34 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 35 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 36 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 37 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 38 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 39 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 40 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 41 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 42 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 43 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 44 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 45 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 46 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 47 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 48 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 49 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 50 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 51 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 52 / 56 rows processed
[INFO] 2024-01-25 00:04:14 : 53 / 56 rows processed
